2026/04/27 19:51:56 [error] 771#771: *301514 open() "/var/www/html/boaform/admin/formLogin" failed (2: No such file or directory), client: 176.65.139.140, server: localhost-nginx-proxy-manager, request: "POST /boaform/admin/formLogin HTTP/1.1", host: "159.112.132.176:80", referrer: "http://159.112.132.176:80/admin/login.asp"
2026/04/27 19:59:16 [alert] 771#771: 512 worker_connections are not enough
2026/04/27 19:59:16 [error] 770#770: *302497 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "159.112.132.176"
2026/04/27 19:59:20 [error] 771#771: *302500 open() "/var/www/html/sitemap.xml" failed (2: No such file or directory), client: 167.94.146.62, server: localhost-nginx-proxy-manager, request: "GET /sitemap.xml HTTP/1.1", host: "159.112.132.176"
2026/04/27 20:15:44 [error] 770#770: *302508 open() "/var/www/html/boaform/admin/formLogin" failed (2: No such file or directory), client: 176.65.139.140, server: localhost-nginx-proxy-manager, request: "POST /boaform/admin/formLogin HTTP/1.1", host: "159.112.132.176:80", referrer: "http://159.112.132.176:80/admin/login.asp"
2026/04/27 20:49:13 [error] 770#770: *302518 open() "/var/www/html/GponForm/diag_Form" failed (2: No such file or directory), client: 139.135.46.192, server: localhost-nginx-proxy-manager, request: "POST /GponForm/diag_Form?images/ HTTP/1.1", host: "127.0.0.1:80"
2026/04/27 21:26:50 [error] 770#770: *302521 open() "/var/www/html/.env" failed (2: No such file or directory), client: 78.153.140.149, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "159.112.132.176"
2026/04/27 22:12:46 [error] 771#771: *302549 open() "/var/www/html/admin/config.php" failed (2: No such file or directory), client: 194.163.174.210, server: localhost-nginx-proxy-manager, request: "GET /admin/config.php HTTP/1.0", host: "159.112.132.176"
2026/04/27 22:28:07 [error] 771#771: *302551 open() "/var/www/html/.env" failed (2: No such file or directory), client: 78.153.140.149, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "159.112.132.176"
2026/04/27 22:48:27 [error] 771#771: *302571 open() "/var/www/html/GponForm/diag_Form" failed (2: No such file or directory), client: 72.255.19.44, server: localhost-nginx-proxy-manager, request: "POST /GponForm/diag_Form?images/ HTTP/1.1", host: "127.0.0.1:80"
2026/04/27 22:50:43 [error] 771#771: *302572 open() "/var/www/html/settings.py.bak" failed (2: No such file or directory), client: 31.58.214.23, server: localhost-nginx-proxy-manager, request: "GET /settings.py.bak HTTP/1.0", host: "159.112.132.176"
2026/04/27 23:17:32 [error] 771#771: *302579 open() "/var/www/html/hello.world" failed (2: No such file or directory), client: 38.242.196.119, server: localhost-nginx-proxy-manager, request: "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1", host: "159.112.132.176:80"
2026/04/27 23:17:33 [error] 771#771: *302579 open() "/var/www/html/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 38.242.196.119, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "159.112.132.176:80"
2026/04/27 23:17:33 [error] 771#771: *302579 open() "/var/www/html/vendor/phpunit/phpunit/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 38.242.196.119, server: localhost-nginx-proxy-manager, request: "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1", host: "159.112.132.176:80"
